S.No,System,Question,1,2,3,4,,Ans,Explanation
1,Blood,Spontaneous arrest of bleeding is called:,Homeostasis,Haemostasis,Coagulation of blood,Thrombosis,,2,Spontaneous arrest of bleeding by physiological process is called haemostasis. Cogulation of blood is on of its components. On other hand homeostasis means mechanism that control internal environment of a cell.
2,Blood,Clotting factor present in both plasma and serum is :,Thrombin,Factor VIII,Factor V,Factor Vll,,3,"Serum is plasma minus clotting factor ll, V and Vlll (Note: Thrombin is not clotting factor)."
3,Blood,Haemostasis is normally associated with all of the following except:,Polimerization of plasma prothrombin molecule,Blood coagulation,Vascular spasm,Formation of a platelet plug,,1,
4,Blood,what does not help to prevent blood loss after rupture of small blood vessel ?,Vasoconstriction,formation of fibrin threads,Platelet plug,Inhibition of basal myogenic tone,,4,
5,Blood,What is the first important event in haemostatis followiing servere tissue injury ?,Blood coagulation,formation of platelet haemostatic plug,Vascular spasm,Formation of thromboplastin,,3,This is due to release of serotonin (5HT) and other Vasoconstrictors (NE) from platelets. Other events follow it.
6,Blood,The feature of enzyme cascade system is :,Amplification,Activated enzymes in turn activate other inactive enzymes,Negative feedback regulation,Counter regulation,,2,"[Enzyme cascade system involes complex series of reaction in which inactive  enzymes are activted that , in turn, activate other inactive enzymes."
7,Blood,Soft soluble fibrin clot gets converted to firm clot by all of following except:,Factor lll,Factor Xlll,Calcium,Factor ll,,4,"Fibrin initially is a losse mesh of interlacing stands (soft clot). It gets coverted into a dense tight aggregate (from clot) by fector III, fector XIII and Ca2+. Factor II is prothrombin."
8,Blood,Which cation is important for conversion of fibrinogen to fibrin?,Sodium,Magnesium,Calcium,Cobalt,,4,
9,Blood,The conversion of fibrinogen in to fibrin occurs by:,Prothrombin,Thrombin,Thromboplastin,Platelets,,2,
10,Blood,Which of the following is required for the conversion of prothrombin to thrombin:,"Factors VII, X, V and Ca2+","Factors X, V and Ca2+",Factors X and V,Ca2+ only,,2,"Factors required to convert prothrombin into thrombin are: activated factor X, factor V, and  Ca2+ platelets phospholipids."
11,Blood,Stuart Prower factor is factor:,VIII,IX,X,XII,,3,Also called autoprothrombin-C.
12,Blood,A procoagulant not normally circulating in the  plasma is:,Prothrombin,Fibrinogen,Antihaemophilic factor,Factor VI,,4,"All factors (a), (b) and (c) are normally present in the plasma but in the inactive from."
13,Blood,The exact role of which of the following factor is not known?,IV,V,VI,VII,,2,
14,Blood,Laki Lorand factor is factor:,XIII,XII,XI,X,,1,Also called fibrin stabilizing factor or fibrinrase.
15,Blood,Which clotting factor is not consumed during clotting?,Fibrinogen,Prothrombin,Factor V,Factor VII,,3,"Factor VII is proconvertin or serum prothrombin convergen accelerator. It acts as a catalyst, therefore not consumed during clotting."
16,Blood,Constriction of blood vessel following injury is due to:,Anoxia,Serotonin,Endothelin,Prostacyclin,,2,
17,Blood,Vasoconstrictor agents released from the platelets following injury to vessel wall:,5 HT,Nor-Epinephrine,Prostacyclin,(a) and (b),,4,
18,Blood,Not true of temprory haemostatic plug:,It is a loose aggregation of platelets,Can be removed by anticoagulants,Seen following an injury to vessel wall,Gets converted to definitive plug by fibrin,,2,Temporary haemostatic plug cannot be removed by clinically used dosage of anticoagulants.
19,Blood,Temporary haemostatic plug gets converted to definitive plug by:,Calcium,5 HT,Fibrin,Factor II,,3,
20,Blood,Which of the following helps in bridging the fibrin in a clot and stabilizing the clot?,Factor III,Factor V,Factor VIII,Factor XIII,,4,The fundamental reaction in the clotting of blood is conversion of the soluble plasma protein fibrinogen to fibrin (an insoluble and elastic firm clot). The reactiion is catalyzed by activated factor XIII (fibrin stablizing factor) and requires Ca2+
21,Blood,In vitro coagulation is initiated by factor:,XIII,XI,X,IX,,1,In vitro coagulation is initiated by exposing the blood to electronegatively harged wettable surface such as glass. Factor XII is Hageman factor or glass factor or contact factor.
22,Blood,Factor used in the extrinsic pathway of blood coagulation is:,V,VIII,Tissue factor III,X,,3,Extrinsic pathway of clotting is triggered by injury to blood vessel wall or body tissue which causes release of tissue thromboplastin (III)
23,Blood,Which is not involved in intrinsic pathway?,Factor XII,Factor XI,Factor IX,Factor VII,,4,"Intrinsic system involve activation of inactive factor XII which in liver successively active other inactive factors XI, IX, VIII, X to form intrinsic prothrombin activator"
24,Blood,Deficiency of which factor does not cause an abnormality of intrinsic pathway,Factor VIII,Factor XI,Factor VII,Factor IX,,3,Intrinsic pathway does not involve this factor:
25,Blood,Pltelets are essential for clotting because of the following except:,Helps conversion of prothrombin to thrombin,Secrete fibrin stabilizing factor,Helps in clot retraction,Helps phagocytosis of carbon particles,,4,This platelet fuction do not help in clotting mechanism
26,Blood,"During haemostatsis, platelets affect the cogulation by all except:",Platelets adhesion to exposed endothelium,Clot retraction,Vasoconstriction,Conversion of fibrinogen to fibrin,,4,
27,Blood,Which pathway of coagulation is very fast?,Intrinsic,Extrinsic,Both are equally fast,Both pathways are required during coagulation,,2,Here casade of reactions involved are less as compared to intrinsic pathway of coagulation.
28,Blood,Prothrombin activator is formed by:,Intrinsic pahtway,Extrinsic pathway,(a) and (b) both,Thrombin,,3,Prothrombin activator is formed by two ways: extrinsic and intrinsic system resulting in formation of extrinsic or intrinsic prothrombin activator respectively:
29,Blood,Role of platelets phospholipids in blood coagulation is:,Provides a surface on which reagents are concentrated,Helps platelets adhesion,Helps platelets activation,Helps platelets aggregation,,1,
30,Blood,Extrinsic and intrinsic pathways for coagulation differs in that:,Extrinsic pathway is triggered by change in blood constituents,Intrinsic pathways proceeds more slowly,Determination of clotting time in vitro involve the extrinsic system,Intrinsic pathway is triggered by injury to body tissues.,,2,
31,Blood,Which of the following is not true?,Factor X is common to both extrinsic and intrinsic pathway,Calcium is essential for coagulation pathway,Negatively charged surface protien are required for activation of extrinsic pathway,Intrinsic pathway can occur in vitro.,,3,Activtion of intrinsic system in vitro is ought by exosing the blood to electronegatively charged wetable surface such as glass
32,Blood,"In clotting mechanism via intrinsic and extrinsic pathway, the key reaction is:",Formation of thrombin,Formation of fibrin,Formation of prothrombin activator,Conversion of factor X to its active from,,4,Because one Xa is formed clotting takes place within few second
33,Blood,"Once active from of factor  is formed, clotting takes placce withing:",Few milliseconds,Few seconds,Few minutes,5-10 minutes,,2,
34,Blood,Following blood coagulation intravascular thrombosis is prevented by all except:,Removal of activated clotting factor by liver,Reduction in supply of clotting factors,Interaction between thromboxane A2 and prostacyclin,Vascular spasm,,4,
35,Blood,Administration of aspirin in the low dosage shown to be a value in preventing myocardial infarction by:,Inhibiting platelets aggregation,Preventing platelets adhesion,Initiating platelets activation,Retracting the blood clot,,1,"Aspirin in low dosage has platelets anti-aggregation effect, It acts by inhibiting thromboxane A2 formation"
36,Blood,Calcium deficiencies do not produce coagulation disorders beause:,Only traces of calcium are required for coagulation,"If deficiency is very severe, it may produce bleeding symptoms",Calcium acts as a co-factor,All other clotting factors are intact,,1,Even if very severe calcium deficiency occurs it may produce tetany before coagulation disorder develops.
37,Blood,Thrombomodulin-I is prodused by all of the followin except:,Splanchnic circulation,Skin circulation,Cerebral circulation,Muscle circulation,,3,All endothelial cell except those in the cerebal microciculation produce throbomodulin-I a thrombin binding protein that converts throbin in to protein C activator.
38,Blood,Intravascular clotting is prevented by circulating:,Heparin,Fibrinolysin,Antithrombin C,All of the above,,4,"Local vascular factors like soothness of endothelial Iinning, presense of negatively charges particles and velocity of circulation also play impotant role in preventing intravascular clotting."
39,Blood,Blood normally does not clot in circulation beause of all following except:,Clotted blood librates certain substances which prevents further clotting,Removal of activated clotting factors from the circulation,Activation of fibrinolytic system that limits clotting,Presence of chelating agents in circulation,,4,No natural such agent is present in the circulation
40,Blood,The blood in the vessels normally does not clot because,Vitamin K antagonists are present in plasma,Thrombin has has positive feedback on plasinogen,Sodium citrate in plasma chelates calcium icon,Vascular endothelium is smooth and coated with glycocalyx,,4,"Smoothness of vascualr endothlium prevents platelets adhesion and (ii) glycocalyx repel negatively charged particles, ie the clotting factors."
41,Blood,Thrombomodulin-thrombin complex prevents clotting because:,Thrombomodulin inhibits prothrombin activator,Activates tithrombin III,Removes thrombin,Active heparin,,3,It also activates protein C which inactivates activated factors V and VIII
42,Blood,All of the following facilitate the conversion of pro-fibrinogen (plasminogen) to fibrinolysin (plasmin) except:,Tissue enzymes,Streptokinase,Urokinase,Antiplasmin,,4,All these enzymes are fibrinolytic enzymes which convert the plasminogen to plasmin. This helps enzymes are used in treatment of early myocardial infarction.
43,Blood,Human TPA (tissue plasminogen activator) used clinically in treatment of early myocardial infraction acts by:,Activation of fibrinolytic system,Stimulating heparin release from liver,Removing activated clotting factors from the circulation,Inhibiting thrombin,,1,
44,Blood,"Fibrinolytic system gets activated by all of the following conditions, except:",Voilent sudden death,Stress and strain,Glucocorticoids,Trypsin inhibitor,,4,
45,Blood,Heparin acts by inhibiting:,Active from of clotting factor VIII,Vitamin K synthesis in liver,Calcium,Action of thrombin,,4,"Heparin is a powerful anticogulant. It facilitates the action of antithrombin thereby inhibiting the active forms of clotting factors IX, X, XI and XII."
46,Blood,Which of the following has no anticoagulant property?,Antithrombin III,Heparin,Protein C,Ca2+,,4,Ca2+ helps in coagulation process
47,Blood,Anticoagulants that prevent coagulation when placed in a blood sample outside the body include all except:,Citrates,Oxalate,Heparin,Coumarins,,4,"Coumarins e.g. dicoumarol is vitamin K antagonist. Vitamin K helps in the synthesis of clotting factors II, VII, IX and X in the liver."
48,Blood,"Dicumarol therapy, decrease the plasma concentration of which of the following procogulants:",Prothrombin,Fibrinogen,Antihemophillic factor (factor VIII),Factor V,,1,Dicumrol a vitamin K antagonisin decreses hepatic formation of vitamin K dependent congulation factor.
49,Nerve & Muscle,"In body, heprain is secreted by:",Lymphocytes,Neutrophils,Basophils,RBCs,,3,Heparin is also secreted by mast cells.
50,Blood,Degranulation of which fot he following cell type mediate allergic and inflammatory reactions.,Neurophils,Monocytes,Basophils,Mast cells,,4,Mast cells contain lgE (Reagin) receptor on their surfaces and discharge their content of their granules when IgE-coated antigen binds to the receptors thus mediate allergic and inflmmatory responses.
51,Blood,Which of the following is not an anticogulant?,Sodium oxalate,Ammonium citrate,Sodium edetate,Vitamin K,,4,
52,Blood,Vitamin K dependent blood factors are all except:,V,VIII,IX,X,,1,
53,Blood,Citrate is anticogulant because it depletes:,Vitamin K,Prothrombin,Ca2+,Protein C,,3,
54,Blood,Snake bite may cause death by:,Destruction of fibrinogen,Stimulation of fibrinolytic system,(a) and (b) both,Tetanus,,3,These effects are seen in vivo. In vitro snake venom has a direct anticoagulant effect on fibrinogen by forming imperfect fibrin polymer
55,Blood,"Ice applied to the body surface for arresting haemorrhage, prevents bleeding by:",Activating cocagulation,Inhibiting firinolytic system,Activating platlets aggregation,None of the above,,4,Ice may prevent bleeding by its reflex vasoconstrictor effect and helps to postone clotting.
56,Blood,Parahemophilia is due to  deficiency of:,Factor I,Factor V,Factor VIII,Factor IX,,2,Parahemophilia is a congenital disorder due to deficiency of labile factor (factor V)
57,Blood,Hemophilia A is caused by deficiency of clotting factor:,Platelets fector 3,Factor V,Thromboplastin,Factor VIII,,2,Factor VIII is also called antihemophilic factor A (AHF-A) or antihemophilic globulin (AHG)
