S.No.,Subject,Topic,Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer,Description
5001,Pathology,Gen Path,The epithelioid cell and multinucleated giant cells of granulom- atous inflammation are derived from -,Basophils,Eosinophils,CD4T lymphocytes,Monocytes macrophages,,4,
5002,Pathology,Gen Path,Noncaseating granulomas are seen in all of the following except-,Byssinosis,Hodgkin's lymphoma,Metastatic Ca lung,Tuberculosis,,3,
5003,Pathology,Gen path,"Necrotizing epithelioid cell granulomas are seen in all, except -",Tuberculosis,Wegener's granulomatosis,Cat's scratch disease,Leprosy,,4,"Necrotic granuloma can be caused by1)	Infective causes are TB, histoplasma, syphilis, coccidiomycosis, Cat's scratch disease..2)	Non-infective causes are Wegner's granulomatosis, RA, necrotizing sarcoidosis, hyalinising granuloma. Tuberculoid leprosy is characterized by the presence on non-necrotizing granulomas."
5004,Pathology,Neoplasia,Principal cell in granuloma is -,Lymphocyte,Histiocyte,Langhans,Giant cell,,2,
5005,Pathology,Gen path,Major basic protein is formed by-,Lymphocyte,Basophil,Neutrophil,Eosinophil,,4,"They are most important cells involved in parasitic infections and allergies.	IL-5 promotes eosinophil development from stem cells.	Eotaxin is a chemokine for eosinophil.	They are phagocytic cells for parasites.	 They have two types of granulesA)	Large specific granulescontains:1)	Major basic protein2)	Peroxidase3)	Eosinophilic cationic protein.4)	Eosinophil derived neurotoxin5)	Histaminase6)	Hydrolytic lysosomal enzymesB)	Small granules contains:1)	Aryl sulphatase	f2)	Acid phosphatase3)	Gelatinase"
5006,Pathology,Gen path,Eosinophils secrete all except -,Major basic protein,Hydrolytic enzyme,Reactive form of 02,Eosinophilic chemotactic factor,,4,
5007,Pathology,Inflammation,Which cytokine activate macrophages?,IL-8,IFN-y,PAF,Leukotriene B4,,2,
5008,Pathology,Inflammation,Most important cytokine responsible for synthesis of acute phase proteins?,111,116,Illi,TNF alpha,,2,Most important cytokine for synthesis of acute phase protiens - IL-6.
5009,Pathology,Inflammation,The most important source of histamine -,Mast cells,Eosinophil,Neutrophil,Macrophages,,1,
5010,Pathology,Inflammation,Prostacyclin is mainly produced by-,Platelet,Vascular endothelium,Prostate,Testis,,2,
5011,Pathology,Hematology,Lifespan of neutrophil -,15 days,6 hours,6 days,10 days,,2,
5012,Pathology,Inflammation,"During inflammation, Leukocytes leave the vasculature and migrate to the site of bacterial inoculationThis movement of leukocytes is most likely to be mediated by which of the following substances -",Bradykinin,Chemokines,Histamine,Prostaglandins and C3a,,2,"Chemokines include many molecules that are chemotactic for neutrophils, eosinophils, lymphocytes, monocytes, and basophils. Bradykinincauses pain and increased vascular permeability. Histamine causes vascular leakage, and prostaglandins have multiple actions, but they do not cause chemotaxis. Complement C3a causes increased vascular permeability by releasing histamine from mast cells"
5013,Pathology,Inflammation,Lipoxins synthesized from arachidonic acid act by(Recent Exam 2017),"Decreasing leucocyte migration, adhesion, chemotaxis","Increasing leucocyte migration, adhesion, chemotaxis",Vasoconstriction,Increased vascular permeability,,1,
5014,Pathology,Inflammation,Isoprostanes are formed from arachidonic acid by -,Cyclo-oxygenase,Lipo-oxygenase,Epoxide hydrolase,Non-enzymatic free radical peroxidation,,4,
5015,Pathology,cell injury,Regarding cox2 which of the following is its function?,Cell adhesion,Cell proliferation,Cell migration,Cell differentiation,,2,Overexpressed in Colon Cancer.
5016,Pathology,Inflammation,Macrophages are found in -,Phase of scar formation,Phase of repair,Late phase of inflammation,Early phase of inflammation,,3,
5017,Pathology,Inflammation,Proinflammatory cytokines include all of the following except -,Interleukin 1,Interleukin 2,Interleukin 6,TNF-a,,3,IL-6 is both proinflammatory and anti-inflammatory so here IL-6
5018,Pathology,Inflammation,C -C beta chemokine includes-,IL-8,Eotaxin,Lymphotactin,Fractalkine,,2,
5019,Pathology,Inflammation,"Which of the following chemical mediators of inflammation is anExample of a C-X-C or alpha chemokine?	(Recent exam 2016)",Lipoxin LXA4,interleukin IL-8,Interleukin IL-6,Monocyte chemoattractant protein MCP-l,,2,
5020,Pathology,Immunology,Which is not a proinflammatory cytokine?,IL-8,IL-2,IL-1,TGF-B,,4,
5021,Pathology,Immunology,Pro-inflammatory cytokines are-,IL-l,IL-2,IL-4,IL-6,IL-8,1,
5022,Pathology, blood vessel,Vasoconstricting mediator is-,Prostacyclin,Thromboxane A2,PGD2,Lipoxins,,2,
5023,Pathology,Inflammation,Resolution of inflammation caused by,"TNF-a, IL-l and CRP","TNF-B, IL-6 and CRP","TNF-a, IL 10 and IL 1 receptor antagonist",TNF-y,,3,"None of the options are completely correct:a)	IL-10 is an anti-inflammatory cytokine which helps in resolution of inflammation.b)	IL-l receptor antagonist involves in resolution of inflammation.c)	TNF-u is proinflammatory cytokine. So among the given options most appropriate answer will be choice C."
